t_sec,motion,wp_idx,avoid,L_cmd_x,L_cmd_y,L_cmd_z,F1_cmd_x,F1_cmd_y,F1_cmd_z,F2_cmd_x,F2_cmd_y,F2_cmd_z,F1_nom_x,F1_nom_y,F1_nom_z,F2_nom_x,F2_nom_y,F2_nom_z,L_odom_x,L_odom_y,L_odom_z,F1_odom_x,F1_odom_y,F1_odom_z,F2_odom_x,F2_odom_y,F2_odom_z
1775601947.765357,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,-0.004101,0.016415,-4.990133,1.941673,0.025049,-5.006317,3.869726,0.004733,-4.967197
1775601948.265426,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,0.650142,0.013101,-5.206065,2.613442,0.007114,-5.219311,4.585025,0.011951,-5.182147
1775601948.765333,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,3.438168,-0.015456,-5.196230,5.352368,0.000534,-5.205868,7.360525,0.014442,-5.170626
1775601949.265599,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,7.869018,-0.059002,-5.030413,9.857262,0.035415,-5.028937,11.799136,-0.003135,-5.001541
1775601949.765373,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,11.669381,-0.063638,-5.064054,13.684954,0.043951,-5.068516,15.683599,-0.010723,-5.028585
1775601950.265446,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,13.948299,-0.041359,-5.069545,15.971485,0.016382,-5.087039,17.955851,-0.001683,-5.043324
1775601950.765431,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,14.821918,-0.001902,-5.114261,16.832767,0.000473,-5.137180,18.839689,0.008131,-5.100210
1775601951.265358,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,16.579124,0.032672,-5.213623,18.573267,0.004068,-5.230660,20.642530,0.016008,-5.203290
1775601951.765485,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,20.497934,0.049008,-5.062797,22.564285,-0.004810,-5.068897,24.585209,0.018497,-5.040235
1775601952.265543,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,25.075844,0.028363,-4.961146,27.079401,-0.034306,-4.960853,29.133863,0.011921,-4.945550
1775601952.765305,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.900000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,28.170500,0.007698,-4.999413,30.220446,-0.045583,-4.988433,32.185394,0.011356,-4.985256
1775601953.265341,1,3,1,38.000000,0.000000,-5.000000,40.000000,0.900000,-5.000000,42.000000,2.400000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,29.589153,0.011933,-4.961676,31.606112,-0.023223,-4.952301,33.562069,0.165649,-4.950943
1775601953.765713,1,3,1,38.000000,0.000000,-5.000000,40.000000,2.400000,-5.000000,42.000000,4.620000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,30.639711,0.031798,-5.144897,32.677120,0.123589,-5.131194,34.617626,0.809645,-5.120962
1775601954.265419,1,3,1,38.000000,0.000000,-5.000000,40.000000,4.620000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,33.150372,0.042833,-4.989128,35.137756,0.706619,-4.993895,37.135563,1.958903,-5.006944
1775601954.765332,1,3,1,38.000000,0.000000,-5.000000,40.000000,6.000000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,35.737556,0.035201,-4.947215,37.754742,1.973509,-4.956059,39.707672,3.639050,-4.941403
1775601955.265339,1,3,1,38.000000,0.000000,-5.000000,40.000000,6.000000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,37.315811,0.037965,-4.947126,39.298412,3.660055,-4.927728,41.264294,5.120799,-4.930377
1775601955.765392,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,37.975128,0.114073,-4.956183,39.940491,5.168169,-4.918834,41.908340,5.965684,-4.911355
1775601956.265297,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,38.615055,0.716432,-4.948857,40.590775,6.548175,-4.922507,42.573147,6.827439,-4.910774
1775601956.765385,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,39.232151,1.424248,-4.948028,41.241234,7.564667,-4.937508,43.202953,7.587358,-4.926083
1775601957.265673,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,3.700000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.612701,1.855206,-4.996544,41.621769,8.049108,-4.985818,43.595795,8.009704,-4.983133
1775601957.765333,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,2.200000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.760353,1.371826,-5.061510,41.736488,7.517278,-5.035970,43.752209,7.424108,-5.065248
1775601958.265297,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,0.700000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.789795,-0.029475,-4.978526,41.713440,6.091995,-4.950083,43.785065,5.589134,-4.991416
1775601958.765344,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,-0.800000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.755585,-1.243340,-4.972603,41.657162,4.829982,-4.958205,43.742264,3.420290,-4.967149
1775601959.265323,1,6,1,35.000000,0.000000,-5.000000,37.000000,4.380000,-5.000000,39.000000,3.060000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,39.638027,-1.842663,-5.073003,41.579014,4.207110,-5.067156,43.620670,1.473108,-5.075301
1775601959.765342,1,6,1,35.000000,0.000000,-5.000000,37.000000,1.680000,-5.000000,39.000000,5.760000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,38.563133,-1.641994,-5.079829,40.556015,4.173918,-5.080333,42.551640,0.593131,-5.200456
1775601960.267759,1,6,1,35.000000,0.000000,-5.000000,37.000000,-1.020000,-5.000000,39.000000,6.000000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,36.740654,-0.938179,-4.976993,38.772263,3.750491,-5.033303,40.813107,1.635803,-5.085776
1775601960.765306,1,7,1,0.000000,0.000000,-5.000000,2.000000,-0.480000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,35.358398,-0.348681,-4.983254,37.322510,2.263693,-5.027426,39.494816,3.576041,-4.987890
1775601961.265406,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.060000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,34.265568,-0.086708,-5.184047,36.184433,0.395193,-5.186625,38.383335,5.006370,-5.180356
1775601961.765315,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.060000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,31.449619,0.033910,-5.187820,33.343857,-0.743486,-5.189704,35.568119,5.708389,-5.192105
1775601962.265453,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.060000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,26.585823,0.080846,-5.045996,28.642349,-1.035883,-5.065165,30.747339,5.862661,-5.048070
1775601962.765368,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.060000,-5.000000,4.000000,4.860000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,20.968222,0.098280,-4.978342,23.010607,-0.926676,-4.986485,25.147137,5.813929,-4.964247
1775601963.265293,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,3.360000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,15.126613,0.119858,-4.979722,17.314470,-0.754824,-4.987807,19.307266,5.728516,-4.967229
1775601963.765408,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,1.860000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,9.363360,0.121421,-4.986878,11.496358,-0.601918,-4.997645,13.589923,5.281869,-4.998344
1775601964.265283,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.360000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,4.268719,0.094981,-5.065191,6.386421,-0.453778,-5.061378,8.431826,4.188792,-5.065528
1775601964.765368,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,0.867289,0.053637,-5.099186,2.978743,-0.368540,-5.093921,5.025090,2.695648,-5.097758
1775601965.265364,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,-0.469714,0.006555,-5.100965,1.564225,-0.326126,-5.102695,3.593220,1.280282,-5.098961
1775601965.765407,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,0.280395,-0.056060,-5.163361,2.262638,-0.278323,-5.158842,4.251640,0.141691,-5.155839
1775601966.265320,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,3.141943,-0.109209,-5.202317,5.132814,-0.202555,-5.185799,7.032001,-0.646123,-5.175098
1775601966.765313,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,7.459672,-0.112713,-5.119644,9.378424,-0.124053,-5.092474,11.325135,-0.996113,-5.083187
1775601967.265356,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,11.300456,-0.098654,-5.181947,13.272900,-0.068764,-5.165783,15.195229,-0.923160,-5.145431
1775601967.765363,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,13.643194,-0.052922,-5.204434,15.595430,-0.047446,-5.198685,17.597191,-0.653751,-5.178440
1775601968.265321,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,14.565391,0.002445,-5.108263,16.553905,-0.049089,-5.112771,18.578762,-0.353456,-5.094381
1775601968.765324,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,15.486227,0.046830,-5.260393,17.463484,-0.057857,-5.262574,19.546974,-0.083674,-5.250086
1775601969.265335,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,18.524069,0.077121,-5.158031,20.520508,-0.042686,-5.164649,22.599192,0.083781,-5.155819
1775601969.765432,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,23.175627,0.058031,-4.941597,25.086777,-0.022267,-4.949115,27.168703,0.082222,-4.937971
1775601970.265362,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.300000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,27.057293,0.024228,-4.976550,29.044718,-0.028144,-4.980361,31.047668,0.012173,-4.963682
1775601970.765350,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.300000,-5.000000,34.000000,1.800000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,29.220518,0.016495,-4.979223,31.196432,-0.039792,-4.977325,33.202511,0.064315,-4.973517
1775601971.265466,1,3,1,38.000000,0.000000,-5.000000,40.000000,1.800000,-5.000000,42.000000,3.540000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,30.134274,0.031773,-5.102979,32.144917,0.002617,-5.096101,34.120491,0.607493,-5.077947
1775601971.765316,1,3,1,38.000000,0.000000,-5.000000,40.000000,3.540000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,32.120056,0.049972,-5.029799,34.086155,0.341859,-5.052953,36.189514,1.655028,-5.040023
1775601972.265541,1,3,1,38.000000,0.000000,-5.000000,40.000000,5.160000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,34.927479,0.055600,-4.909240,36.918457,1.323430,-4.958546,39.022152,3.197860,-4.936937
1775601972.765344,1,3,1,38.000000,0.000000,-5.000000,40.000000,6.000000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,36.943012,0.035565,-4.915858,38.948875,2.912769,-4.949383,41.039379,4.767102,-4.933505
1775601973.265384,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,37.905411,0.043692,-4.920532,39.919651,4.582969,-4.926081,41.984936,5.836740,-4.914975
1775601973.765274,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,38.607334,0.552164,-4.918514,40.595863,6.119936,-4.923631,42.644535,6.774411,-4.910435
1775601974.265395,1,4,1,40.000000,2.000000,-5.000000,42.000000,8.000000,-5.000000,44.000000,8.000000,-5.000000,42.000000,2.000000,-5.000000,44.000000,2.000000,-5.000000,39.278946,1.302390,-4.931075,41.250427,7.330883,-4.944362,43.261436,7.590181,-4.929842
1775601974.765443,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,4.000000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.705013,1.811295,-4.996409,41.664436,7.950983,-5.000124,43.641891,8.049861,-4.981127
1775601975.265364,1,5,1,40.000000,-2.000000,-5.000000,42.000000,4.000000,-5.000000,44.000000,2.500000,-5.000000,42.000000,-2.000000,-5.000000,44.000000,-2.000000,-5.000000,39.857185,1.379900,-5.067551,41.847202,7.487888,-5.057704,43.760761,7.531311,-5.057923
1775601976.665325,1,6,1,35.000000,0.000000,-5.000000,37.000000,5.460000,-5.000000,39.000000,5.520000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,39.763065,-1.795956,-5.009701,41.773830,4.290836,-5.011075,43.590393,3.266001,-4.990465
1775601977.165429,1,6,1,35.000000,0.000000,-5.000000,37.000000,2.760000,-5.000000,39.000000,4.920000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,38.593277,-1.654676,-5.082044,40.534081,4.232553,-5.075423,42.426548,3.145001,-5.112140
1775601977.665313,1,6,1,35.000000,0.000000,-5.000000,37.000000,0.060000,-5.000000,39.000000,3.300000,-5.000000,37.000000,0.000000,-5.000000,39.000000,0.000000,-5.000000,36.762524,-0.931470,-4.983066,38.695217,4.110130,-5.022157,40.728035,4.118482,-5.006366
1775601978.165337,1,7,1,0.000000,0.000000,-5.000000,2.000000,-2.100000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,35.372364,-0.321980,-4.994520,37.312664,3.047332,-5.055854,39.420284,4.424942,-5.008384
1775601978.665347,1,7,1,0.000000,0.000000,-5.000000,2.000000,-1.560000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,34.232983,-0.060127,-5.208676,36.139111,1.124143,-5.207355,38.325531,4.358172,-5.196637
1775601979.165355,1,7,1,0.000000,0.000000,-5.000000,2.000000,-1.560000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,31.356371,0.053918,-5.202645,33.235443,-0.244441,-5.184162,35.385185,4.411642,-5.186780
1775601979.665355,1,7,1,0.000000,0.000000,-5.000000,2.000000,-1.560000,-5.000000,4.000000,5.460000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,26.540588,0.093132,-5.060216,28.358601,-0.900350,-5.029800,30.561602,4.581793,-5.037619
1775601980.165308,1,7,1,0.000000,0.000000,-5.000000,2.000000,-1.560000,-5.000000,4.000000,4.860000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,20.818516,0.106719,-4.989207,22.742678,-1.203195,-4.956426,24.845915,4.823819,-4.968745
1775601980.665360,1,7,1,0.000000,0.000000,-5.000000,2.000000,-0.060000,-5.000000,4.000000,3.360000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,14.968748,0.103935,-4.991847,16.889370,-1.421583,-4.965214,19.093775,4.985306,-4.988163
1775601981.165320,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,1.860000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,9.203938,0.095212,-4.984263,11.123554,-1.367612,-4.984900,13.239988,4.722829,-5.017232
1775601981.665339,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.360000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,4.008212,0.072764,-5.054577,5.958456,-0.909474,-5.047489,8.148044,3.797407,-5.074502
1775601982.165475,1,7,1,0.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,2.000000,0.000000,-5.000000,4.000000,0.000000,-5.000000,0.822888,0.040715,-5.092371,2.798150,-0.481861,-5.075191,4.810800,2.398183,-5.089270
1775601982.665343,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,-0.467401,-0.002778,-5.108555,1.518594,-0.209930,-5.090122,3.458853,0.938749,-5.086245
